id_municipio,sigla_uf,nome_regiao,cluster,cluster_nome,n_avaliados,taxa_alfabetizacao_2023,taxa_alfabetizacao_2024,media_portugues_2024,taxa_presenca_2024,log_porte,share_rede_estadual,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
3552700,SP,Sudeste,1,faixa intermediária,171,0.624,0.62048745,751.03674,0.9144385026737968,2.2329961103921536,0.10695187,1.76,2.91,10.51,13.4,16.38,23.22,16.14,11.54,4.13
3552908,SP,Sudeste,1,faixa intermediária,76,0.799,0.67003965,763.5976,0.95,1.8808135922807914,0.0,0.0,1.31,7.83,9.16,20.03,11.89,28.92,14.48,6.38
3553005,SP,Sudeste,1,faixa intermediária,134,0.586,0.71379316,764.1949,0.9178082191780822,2.1271047983648077,0.0,0.0,0.0,6.18,8.0,22.87,21.0,24.0,12.34,5.61
3553203,SP,Sudeste,1,faixa intermediária,61,0.6809999999999999,0.5736979,749.95526,0.953125,1.7853298350107671,0.0,0.0,1.64,9.84,11.48,29.51,21.31,18.03,4.92,3.27
3553302,SP,Sudeste,1,faixa intermediária,189,0.47700000000000004,0.59741926,755.7117,0.9402985074626866,2.2764618041732443,0.0,2.09,2.64,8.45,15.18,17.27,15.34,19.67,14.65,4.7
3553401,SP,Sudeste,1,faixa intermediária,233,0.652,0.7407121,769.9201,0.9173228346456693,2.367355921026019,0.0,1.68,1.72,6.41,7.97,10.19,20.34,23.6,18.06,10.02
3553609,SP,Sudeste,1,faixa intermediária,111,0.535,0.79506195,772.32294,0.940677966101695,2.0453229787866576,0.0,0.0,0.85,1.96,9.27,14.09,26.08,19.75,25.33,2.66
3553708,SP,Sudeste,1,faixa intermediária,406,0.621,0.7282934,769.76013,0.8826086956521739,2.6085260335771943,0.0,1.26,2.11,3.5,9.27,13.91,20.38,22.02,16.23,11.31
3553906,SP,Sudeste,1,faixa intermediária,78,0.785,0.67982954,757.23627,0.975,1.8920946026904804,0.0,0.0,6.41,3.83,6.36,22.92,27.17,17.73,9.02,6.56
3554201,SP,Sudeste,1,faixa intermediária,64,0.7340000000000001,0.59375,750.35547,1.0,1.806179973983887,0.0,3.13,7.81,6.25,9.38,23.44,18.75,10.94,18.75,1.56
3554300,SP,Sudeste,1,faixa intermediária,223,0.6679999999999999,0.72778374,767.219,0.9102040816326531,2.3483048630481607,0.07755102,0.43,1.63,8.09,6.31,15.47,20.27,22.56,15.59,9.66
3554409,SP,Sudeste,1,faixa intermediária,73,0.672,0.7429335,765.31323,0.948051948051948,1.863322860120456,0.0,1.3,0.0,3.9,7.94,19.21,30.21,17.9,13.54,6.0
3554508,SP,Sudeste,1,faixa intermediária,301,0.484,0.6249617,757.70294,0.940625,2.4785664955938436,0.0,1.03,2.38,6.14,13.74,20.99,17.59,19.76,11.97,6.39
